customer,day,daily_amount,nr_trans
customer10,2019-08-20 00:00:00+00:00,177.0,7
customer10,2019-08-21 00:00:00+00:00,69.0,3
customer10,2019-08-22 00:00:00+00:00,173.0,7
customer10,2019-08-23 00:00:00+00:00,69.0,3
customer10,2019-08-24 00:00:00+00:00,190.0,5
customer10,2019-08-25 00:00:00+00:00,125.0,5
customer10,2019-08-26 00:00:00+00:00,191.0,7
customer10,2019-08-27 00:00:00+00:00,110.0,5
customer10,2019-08-28 00:00:00+00:00,200.0,5
customer10,2019-08-29 00:00:00+00:00,60.0,2
customer10,2019-08-30 00:00:00+00:00,150.0,6
customer10,2019-08-31 00:00:00+00:00,255.0,8
customer10,2019-09-01 00:00:00+00:00,473.0,11
customer10,2019-09-02 00:00:00+00:00,210.0,5
customer10,2019-09-03 00:00:00+00:00,210.0,9
customer10,2019-09-04 00:00:00+00:00,150.0,7
customer10,2019-09-05 00:00:00+00:00,127.0,5
customer10,2019-09-06 00:00:00+00:00,100.0,5
customer10,2019-09-08 00:00:00+00:00,179.0,6
customer10,2019-09-09 00:00:00+00:00,123.0,5
customer10,2019-09-10 00:00:00+00:00,120.0,4
customer10,2019-09-11 00:00:00+00:00,60.0,3
customer10,2019-09-12 00:00:00+00:00,120.0,6
customer10,2019-09-13 00:00:00+00:00,40.0,2
customer10,2019-09-14 00:00:00+00:00,372.0,11
customer10,2019-09-15 00:00:00+00:00,60.0,2
customer10,2019-09-16 00:00:00+00:00,69.0,3
customer10,2019-09-17 00:00:00+00:00,160.0,8
customer10,2019-09-21 00:00:00+00:00,60.0,3
customer10,2019-09-23 00:00:00+00:00,50.0,3
customer10,2019-09-25 00:00:00+00:00,199.0,8
customer10,2019-09-26 00:00:00+00:00,13.0,1
customer10,2019-09-30 00:00:00+00:00,129.0,6
customer10,2019-10-01 00:00:00+00:00,89.0,4
customer10,2019-10-04 00:00:00+00:00,90.0,4
customer10,2019-10-05 00:00:00+00:00,20.0,1
customer10,2019-10-07 00:00:00+00:00,29.0,1
customer10,2019-10-08 00:00:00+00:00,150.0,6
customer10,2019-10-09 00:00:00+00:00,277.0,8
customer10,2019-10-11 00:00:00+00:00,25.0,1
customer10,2019-10-12 00:00:00+00:00,259.0,8
customer10,2019-10-13 00:00:00+00:00,130.0,6
customer10,2019-10-14 00:00:00+00:00,139.0,5
customer10,2019-10-15 00:00:00+00:00,345.0,11
customer10,2019-10-16 00:00:00+00:00,105.0,3
customer10,2019-10-17 00:00:00+00:00,70.0,3
customer10,2019-10-18 00:00:00+00:00,40.0,2
customer10,2019-10-19 00:00:00+00:00,216.0,12
customer10,2019-10-20 00:00:00+00:00,30.0,2
customer10,2019-10-21 00:00:00+00:00,20.0,2
customer10,2019-10-22 00:00:00+00:00,20.0,2
customer10,2019-10-23 00:00:00+00:00,150.0,7
customer10,2019-10-24 00:00:00+00:00,10.0,1
customer10,2019-10-25 00:00:00+00:00,49.0,2
customer10,2019-10-26 00:00:00+00:00,118.0,6
customer10,2019-10-27 00:00:00+00:00,180.0,7
customer10,2019-10-28 00:00:00+00:00,70.0,3
customer10,2019-10-30 00:00:00+00:00,89.0,5
customer10,2019-10-31 00:00:00+00:00,80.0,3
customer10,2019-11-01 00:00:00+00:00,156.0,6
customer10,2019-11-02 00:00:00+00:00,288.0,7
customer10,2019-11-05 00:00:00+00:00,20.0,1
customer10,2019-11-06 00:00:00+00:00,119.0,5
customer10,2019-11-07 00:00:00+00:00,519.0,12
customer10,2019-11-08 00:00:00+00:00,131.0,6
customer10,2019-11-09 00:00:00+00:00,164.0,5
customer10,2019-11-10 00:00:00+00:00,210.0,5
customer10,2019-11-12 00:00:00+00:00,429.0,12
customer10,2019-11-13 00:00:00+00:00,130.0,5
customer10,2019-11-14 00:00:00+00:00,60.0,2
customer10,2019-11-15 00:00:00+00:00,160.0,8
customer10,2019-11-16 00:00:00+00:00,229.0,8
customer10,2019-11-17 00:00:00+00:00,259.0,7
customer10,2019-11-18 00:00:00+00:00,580.0,9
customer10,2019-11-19 00:00:00+00:00,50.0,1
customer10,2019-11-20 00:00:00+00:00,130.0,5
customer10,2019-11-21 00:00:00+00:00,80.0,4
customer10,2019-11-22 00:00:00+00:00,269.0,7
customer10,2019-11-23 00:00:00+00:00,430.0,9
customer10,2019-11-24 00:00:00+00:00,40.0,1
customer10,2019-11-25 00:00:00+00:00,25.0,1
customer10,2019-11-26 00:00:00+00:00,225.0,7
customer10,2019-11-27 00:00:00+00:00,180.0,3
customer10,2019-11-28 00:00:00+00:00,100.0,3
customer10,2019-11-29 00:00:00+00:00,210.0,4
customer10,2019-11-30 00:00:00+00:00,319.0,6
customer10,2019-12-01 00:00:00+00:00,329.0,8
customer10,2019-12-03 00:00:00+00:00,100.0,2
customer10,2019-12-06 00:00:00+00:00,60.0,3
customer10,2019-12-07 00:00:00+00:00,60.0,2
customer10,2019-12-08 00:00:00+00:00,110.0,3
customer10,2019-12-09 00:00:00+00:00,80.0,2
customer10,2019-12-10 00:00:00+00:00,159.0,4
customer10,2019-12-11 00:00:00+00:00,130.0,5
customer10,2019-12-12 00:00:00+00:00,40.0,1
customer10,2019-12-13 00:00:00+00:00,360.0,10
customer10,2019-12-14 00:00:00+00:00,60.0,2
customer10,2019-12-15 00:00:00+00:00,330.0,11
customer10,2019-12-16 00:00:00+00:00,50.0,2
customer10,2019-12-17 00:00:00+00:00,119.0,4
customer10,2019-12-18 00:00:00+00:00,116.0,4
customer10,2019-12-19 00:00:00+00:00,120.0,5
customer10,2019-12-20 00:00:00+00:00,281.0,10
customer10,2019-12-21 00:00:00+00:00,135.0,3
customer10,2019-12-22 00:00:00+00:00,469.0,11
customer10,2019-12-23 00:00:00+00:00,205.0,7
customer10,2019-12-24 00:00:00+00:00,20.0,1
customer10,2019-12-25 00:00:00+00:00,94.0,3
customer10,2019-12-26 00:00:00+00:00,30.0,1
customer10,2019-12-27 00:00:00+00:00,50.0,1
