AccountIdentifier,month_x,month_y
customer1342,2019-12,2020-02
customer1343,2019-03,2019-03
customer1344,2019-03,2019-03
customer1345,2020-02,2020-02
customer1346,2019-03,2020-02
customer1347,2019-06,2019-11
customer1348,2019-09,2019-10
customer1349,2019-07,2019-07
customer135,2019-11,2020-02
customer1350,2019-10,2020-01
customer1351,2019-06,2019-06
customer1352,2019-05,2020-02
customer1353,2019-03,2019-03
customer1354,2019-10,2019-10
customer1355,2019-03,2019-03
customer1356,2019-03,2019-03
customer1357,2019-11,2019-12
customer1358,2020-02,2020-02
customer1359,2019-04,2019-04
customer136,2019-03,2019-07
customer1360,2019-06,2019-06
customer1361,2019-03,2019-03
customer1362,2019-04,2019-04
customer1363,2019-03,2019-07
customer1364,2019-03,2020-01
customer1365,2019-07,2019-07
customer1366,2019-08,2019-08
customer1367,2019-04,2019-04
customer1368,2020-01,2020-01
customer1369,2019-11,2020-01
customer137,2019-03,2019-07
customer1370,2019-03,2019-04
customer1371,2019-05,2019-09
customer1372,2019-10,2019-10
customer1373,2020-01,2020-02
customer1374,2019-11,2019-11
customer1375,2020-02,2020-02
customer1376,2019-04,2019-06
customer1377,2019-03,2019-04
customer1378,2019-06,2019-06
customer1379,2020-01,2020-01
customer138,2019-03,2019-08
customer1380,2020-01,2020-01
customer1381,2019-04,2019-04
customer1382,2019-11,2019-11
customer1383,2019-10,2019-10
customer1384,2019-08,2019-09
customer1385,2020-01,2020-01
customer1386,2019-05,2019-05
customer1387,2019-03,2019-03
customer1388,2019-03,2019-03
customer1389,2019-06,2019-06
customer139,2019-03,2020-02
customer1390,2020-01,2020-02
customer1391,2020-02,2020-02
customer1392,2019-06,2019-07
customer1393,2019-03,2019-03
customer1394,2019-10,2019-10
customer1395,2019-08,2019-08
customer1396,2019-03,2019-08
customer1397,2019-04,2019-04
customer1398,2020-01,2020-01
customer1399,2019-12,2020-02
customer14,2019-03,2020-02
customer140,2019-03,2019-05
customer1400,2019-06,2019-07
customer1401,2019-04,2019-04
customer1402,2019-07,2019-07
customer1403,2019-03,2019-03
customer1404,2019-08,2019-08
customer1405,2019-03,2019-09
customer1406,2019-04,2019-04
customer1407,2019-10,2019-10
customer1408,2020-01,2020-01
customer1409,2019-12,2019-12
customer141,2019-03,2020-02
customer1410,2019-04,2019-04
customer1411,2019-06,2019-06
customer1412,2019-05,2019-05
customer1413,2019-03,2019-03
customer1414,2019-12,2020-01
