customer,sum,std,m_avg_spent,first_active_in_days,last_active_in_days,nr_purchases,group
customer1129,140.0,14.142135623730951,70.0,362.0,290.0,2.0,1
customer113,2118.56,27.150038761557933,302.65142857142854,362.0,159.0,61.0,1
customer1130,100.0,0.001,100.0,183.0,183.0,1.0,0
customer1131,50.0,0.001,50.0,42.0,42.0,1.0,0
customer1132,410.0,16.899883449481553,136.66666666666666,309.0,260.0,12.0,1
customer1133,100.0,0.001,100.0,5.0,5.0,1.0,0
customer1134,65.0,24.748737341529164,32.5,313.0,155.0,2.0,1
customer1135,20.0,0.001,20.0,349.0,349.0,1.0,0
customer1136,50.0,0.001,50.0,26.0,26.0,1.0,0
customer1137,235.0,11.373480584502733,58.75,361.0,4.0,12.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer114,12147.0,28.55407837688057,4049.0,117.0,40.0,222.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1142,715.0,30.05203820042827,357.5,66.0,53.0,8.0,1
customer1143,240.0,9.013878188659975,120.0,364.0,246.0,9.0,1
customer1144,45.0,3.5355339059327378,45.0,282.0,282.0,2.0,1
customer1145,1910.0,268.403303506744,477.5,355.0,132.0,12.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1147,190.0,5.0,95.0,358.0,307.0,4.0,1
customer1148,20.0,0.001,20.0,164.0,164.0,1.0,0
customer1149,240.0,12.649110640673518,120.0,51.0,4.0,6.0,1
customer115,20616.08,47.89824780727764,4123.216,171.0,36.0,277.0,1
customer1150,80.0,5.477225575051661,20.0,125.0,23.0,5.0,1
customer1151,210.0,36.85557397915997,210.0,151.0,148.0,4.0,1
customer1152,250.0,106.06601717798213,250.0,39.0,39.0,2.0,1
customer1153,1100.0,70.71067811865476,550.0,69.0,8.0,2.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1155,50.0,0.001,50.0,119.0,119.0,1.0,0
customer1156,4800.0,289.0872334978295,2400.0,201.0,172.0,8.0,1
customer1157,140.0,42.42640687119285,140.0,197.0,197.0,2.0,1
customer1158,47.0,4.949747468305833,47.0,313.0,310.0,2.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer116,4329.51,17.537206203501988,432.9509999999999,358.0,86.0,171.0,1
customer1160,25.0,0.001,25.0,243.0,243.0,1.0,0
customer1161,100.0,0.001,100.0,365.0,365.0,1.0,0
customer1162,17.0,0.001,17.0,351.0,351.0,1.0,0
customer1163,140.0,5.163977794943223,46.666666666666664,287.0,92.0,10.0,1
customer1164,250.0,35.35533905932738,250.0,300.0,299.0,2.0,1
customer1165,205.0,11.698674042769735,41.0,165.0,4.0,13.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1167,301.0,18.00462903440853,301.0,366.0,358.0,6.0,1
customer1168,50.0,0.001,50.0,48.0,48.0,1.0,0
customer1169,100.0,0.001,100.0,70.0,70.0,1.0,0
customer117,1000.0,46.29100498862758,1000.0,364.0,348.0,8.0,1
customer1170,2270.0,92.10824377561745,1135.0,317.0,300.0,8.0,1
customer1171,185.0,5.60032466591325,37.0,278.0,47.0,11.0,1
customer1172,300.0,0.001,300.0,255.0,255.0,1.0,0
customer1173,1335.0,12.781288844941077,445.0,364.0,304.0,35.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1175,50.0,0.001,50.0,354.0,354.0,1.0,0
customer1176,800.0,20.845234695819798,200.0,354.0,237.0,15.0,1
customer1177,50.0,0.001,50.0,350.0,350.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1179,500.0,0.001,500.0,210.0,210.0,1.0,0
customer118,2858.91,11.42961477699787,238.24249999999998,364.0,2.0,174.0,1
customer1180,420.0,26.457513110645905,140.0,199.0,94.0,8.0,1
customer1181,50.0,0.001,50.0,362.0,362.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1183,100.0,0.001,100.0,309.0,309.0,1.0,0
customer1184,10000.0,114.70786693528088,3333.3333333333335,205.0,122.0,19.0,1
customer1185,100.0,0.001,100.0,348.0,348.0,1.0,0
customer1186,10890.0,608.7987331096356,5445.0,365.0,330.0,13.0,1
customer1187,6200.0,370.5851229249946,1240.0,355.0,208.0,10.0,1
customer1188,10.0,0.001,10.0,349.0,349.0,1.0,0
customer1189,10.0,0.001,10.0,222.0,222.0,1.0,0
customer119,24315.0,66.24956558885091,2026.25,357.0,4.0,276.0,1
customer1190,25.0,0.001,25.0,338.0,338.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1192,100.0,0.001,100.0,356.0,356.0,1.0,0
customer1193,1500.0,353.5533905932738,750.0,196.0,170.0,2.0,1
customer1194,3000.0,103.50983390135313,1500.0,285.0,271.0,8.0,1
customer1195,680.0,18.77669040497027,170.0,120.0,11.0,13.0,1
customer1196,10.0,0.001,10.0,359.0,359.0,1.0,0
customer1197,200.0,28.867513459481287,100.0,92.0,89.0,3.0,1
customer1198,50.0,0.001,50.0,70.0,70.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer12,10933.33,39.472625910538966,911.1108333333333,366.0,6.0,226.0,1
customer120,23615.0,25.97427945075225,2623.8888888888887,366.0,88.0,998.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1202,20.0,0.001,20.0,54.0,54.0,1.0,0
customer1203,50.0,0.001,50.0,238.0,238.0,1.0,0
customer1204,1000.0,115.47005383792515,1000.0,365.0,364.0,3.0,1
customer1205,100.0,0.001,100.0,212.0,212.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1207,154.0,10.986355173577815,154.0,366.0,360.0,5.0,1
customer1208,50.0,0.001,50.0,156.0,156.0,1.0,0
customer1209,10.0,0.001,10.0,362.0,362.0,1.0,0
customer121,2150.0,20.88383235379734,537.5,92.0,16.0,35.0,1
customer1210,300.0,12.535663410560174,75.0,317.0,155.0,7.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1212,410.0,33.246911779248656,410.0,345.0,342.0,8.0,1
customer1213,10700.0,304.829546848036,2675.0,280.0,211.0,20.0,1
customer1214,2250.0,111.80339887498948,1125.0,265.0,229.0,5.0,1
customer1215,100.0,0.001,100.0,9.0,9.0,1.0,0
customer1216,2500.0,123.2145209860355,2500.0,209.0,198.0,11.0,1
customer1217,150.0,35.35533905932738,150.0,6.0,4.0,2.0,1
customer1218,2410.0,40.16045715427776,2410.0,365.0,360.0,24.0,1
customer1219,1562.0,196.878134895676,1562.0,119.0,119.0,4.0,1
customer122,5898.0,4.203022727590006,491.5,366.0,11.0,257.0,1
customer1220,15.0,0.001,15.0,277.0,277.0,1.0,0
customer1221,75.0,17.67766952966369,75.0,326.0,326.0,2.0,1
customer1222,500.0,0.001,500.0,185.0,185.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1224,125.0,4.166666666666666,62.5,366.0,330.0,9.0,1
customer1225,50.0,0.001,50.0,155.0,155.0,1.0,0
customer1226,6100.0,109.10894511799619,1525.0,141.0,27.0,21.0,1
customer1227,100.0,0.001,100.0,100.0,100.0,1.0,0
customer1228,575.0,40.05204946899305,287.5,354.0,292.0,6.0,1
customer1229,425.0,88.68013682142505,212.5,331.0,289.0,6.0,1
customer123,2324.01,12.726679088782157,332.00142857142856,329.0,50.0,77.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1231,95.0,18.874586088176873,47.5,250.0,240.0,4.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1233,50.0,5.773502691896257,50.0,364.0,364.0,3.0,1
customer1234,700.0,29.417420270727607,233.33333333333334,304.0,137.0,14.0,1
customer1235,15.0,0.001,15.0,259.0,259.0,1.0,0
customer1236,300.0,22.360679774997898,150.0,295.0,261.0,5.0,1
customer1237,350.0,41.07919181288746,116.66666666666667,233.0,20.0,5.0,1
customer1238,1100.0,40.824829046386306,1100.0,45.0,35.0,6.0,1
customer1239,20.0,0.001,20.0,70.0,70.0,1.0,0
customer124,7292.9,11.374086163504447,1041.8428571428572,363.0,176.0,391.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1241,150.0,0.001,150.0,313.0,313.0,1.0,0
customer1242,10.0,0.001,10.0,19.0,19.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1244,65.0,3.5355339059327378,65.0,360.0,360.0,2.0,1
customer1245,1700.0,24.494897427831777,566.6666666666666,362.0,258.0,25.0,1
customer1246,50.0,0.001,50.0,187.0,187.0,1.0,0
customer1247,499.33,202.26628397568717,499.33,204.0,194.0,3.0,1
customer1248,500.0,0.001,500.0,225.0,225.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer125,10079.77,61.0780551073135,839.9808333333334,365.0,2.0,187.0,1
customer1250,410.0,148.43629385474878,136.66666666666666,364.0,182.0,3.0,1
customer1251,250.0,0.001,250.0,325.0,325.0,1.0,0
customer1252,50.0,0.001,50.0,255.0,255.0,1.0,0
customer1254,50.0,21.213203435596427,50.0,364.0,360.0,2.0,1
customer1255,25.0,0.001,25.0,347.0,347.0,1.0,0
customer1256,110.0,63.63961030678928,55.0,366.0,296.0,2.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1258,921.0,20.558234983602688,230.25,366.0,265.0,13.0,1
customer1259,200.0,0.001,200.0,193.0,193.0,1.0,0
customer126,16511.0,12.301003166712414,1651.1,366.0,2.0,641.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1261,150.0,35.35533905932738,150.0,37.0,36.0,2.0,1
customer1262,50.0,0.001,50.0,183.0,183.0,1.0,0
customer1263,100.0,0.001,100.0,124.0,124.0,1.0,0
customer1264,50.0,0.001,50.0,50.0,50.0,1.0,0
customer1266,81.58,0.5545847867677989,81.58,361.0,345.0,8.0,1
customer1267,150.0,35.35533905932738,150.0,335.0,306.0,2.0,1
customer1268,25.0,0.001,25.0,264.0,264.0,1.0,0
customer1269,210.0,6.50443635587991,210.0,180.0,177.0,13.0,1
customer127,2454.3,23.792258258532737,272.70000000000005,365.0,4.0,62.0,1
customer1270,70.0,21.213203435596427,70.0,300.0,300.0,2.0,1
customer1271,200.0,0.001,200.0,303.0,303.0,1.0,0
customer1272,266.0,5.725465254540664,88.66666666666667,365.0,284.0,15.0,1
customer1273,90.0,17.320508075688775,90.0,227.0,222.0,3.0,1
customer1274,70.0,21.213203435596427,35.0,360.0,315.0,2.0,1
customer1275,170.3,12.651223041447196,56.76666666666667,364.0,256.0,10.0,1
customer1276,394.0,15.299237453764375,131.33333333333334,325.0,270.0,15.0,1
customer1277,50.0,0.001,50.0,187.0,187.0,1.0,0
customer1278,100.0,0.001,100.0,31.0,31.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer128,7091.0,33.329580003741526,886.375,238.0,8.0,125.0,1
customer1280,500.0,0.001,500.0,162.0,162.0,1.0,0
